YEAR,MONTH,FISHING_GROUND_CODE,FLEET,FISHERY,GEAR,SPECIES,FISHING_DAYS,CATCH
2024,2,5205088,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,20.0,0.5
2024,2,5206078,Sri Lanka,Gillnet,Gillnet (offshore),Blue shark,43.0,0.8
2024,2,5206078,Sri Lanka,Gillnet,Gillnet (offshore),Silky shark,43.0,0.2
2024,2,5206078,Sri Lanka,Gillnet,Gillnet (offshore),Great hammerhead,43.0,2.0
2024,2,5206079,Sri Lanka,Gillnet,Gillnet (offshore),Blue shark,22.0,1.8
2024,2,5206079,Sri Lanka,Gillnet,Gillnet (offshore),Silky shark,22.0,0.6
2024,2,5206079,Sri Lanka,Gillnet,Gillnet (offshore),Great hammerhead,22.0,0.5
2024,2,5206081,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,40.0,3.0
2024,2,5206082,Sri Lanka,Gillnet,Gillnet (offshore),Indian scad,326.0,2.0
2024,2,5206082,Sri Lanka,Gillnet,Gillnet (offshore),Giant manta,326.0,0.6
2024,2,5206082,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,79.0,6.0
2024,2,5206083,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,40.0,2.5
2024,2,5206084,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,40.0,2.5
2024,2,5206085,Sri Lanka,Gillnet,Gillnet (offshore),Indian scad,65.0,1.0
2024,2,5206085,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,40.0,1.5
2024,2,5206087,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,59.0,5.0
2024,2,5206088,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,40.0,5.0
2024,2,5206094,Indonesia,Line | Handline,Handline (offshore),Common dolphinfish,2.0,0.43
2024,2,5206095,Indonesia,Line | Handline,Handline (offshore),Common dolphinfish,2.0,0.12
2024,2,5206096,Indonesia,Line | Handline,Handline (offshore),Common dolphinfish,9.0,0.353
2024,2,5206102,Indonesia,Line | Handline,Handline,Common dolphinfish,9.0,0.121
2024,2,5207078,Sri Lanka,Gillnet,Gillnet (offshore),Blue shark,22.0,1.0
2024,2,5207078,Sri Lanka,Gillnet,Gillnet (offshore),Silky shark,22.0,0.5
2024,2,5207078,Sri Lanka,Gillnet,Gillnet (offshore),Great hammerhead,22.0,0.2
2024,2,5207079,Sri Lanka,Gillnet,Gillnet (offshore),Blue shark,22.0,1.5
2024,2,5207079,Sri Lanka,Gillnet,Gillnet (offshore),Silky shark,22.0,0.6
2024,2,5207079,Sri Lanka,Gillnet,Gillnet (offshore),Great hammerhead,22.0,0.6
2024,2,5207081,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,40.0,3.0
2024,2,5207082,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,178.0,10.3
2024,2,5207083,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,79.0,1.8
2024,2,5207084,Sri Lanka,Gillnet,Gillnet (offshore),Indian scad,130.0,8.0
2024,2,5207084,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,40.0,1.0
2024,2,5207085,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,20.0,3.0
2024,2,5207087,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,20.0,4.5
2024,2,5207088,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,20.0,4.5
2024,2,5207094,Indonesia,Line | Handline,Handline (offshore),Common dolphinfish,3.0,0.45
2024,2,5207102,Indonesia,Line | Handline,Handline,Common dolphinfish,14.0,0.12
2024,2,5207103,Indonesia,Line | Handline,Handline,Common dolphinfish,54.0,0.416
2024,2,5207105,Indonesia,Line | Handline,Handline (offshore),Common dolphinfish,14.0,0.151
2024,2,5207106,Indonesia,Line | Handline,Handline,Common dolphinfish,49.0,0.425
2024,2,5207106,Indonesia,Line | Handline,Handline (offshore),Common dolphinfish,10.0,0.13
2024,2,5207107,Indonesia,Line | Handline,Handline,Common dolphinfish,1.0,0.066
2024,2,5207107,Indonesia,Line | Handline,Handline (offshore),Common dolphinfish,1.0,0.02
2024,2,5208081,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,139.0,17.9
2024,2,5208082,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,158.0,13.0
2024,2,5208083,Sri Lanka,Gillnet,Gillnet (offshore),Giant manta,608.0,0.6
2024,2,5208083,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,99.0,7.8
2024,2,5208084,Sri Lanka,Gillnet,Gillnet (offshore),Indian scad,543.0,8.0
2024,2,5208084,Sri Lanka,Gillnet,Gillnet (offshore),Giant manta,543.0,0.1
2024,2,5208085,Sri Lanka,Gillnet,Gillnet (offshore),Giant manta,282.0,0.1
2024,2,5208085,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,20.0,6.2
2024,2,5208088,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,20.0,8.0
2024,2,5208102,Indonesia,Line | Handline,Handline,Common dolphinfish,18.0,0.1
2024,2,5208103,Indonesia,Gillnet,Gillnet,Common dolphinfish,10.0,0.267
2024,2,5208103,Indonesia,Line | Handline,Handline,Common dolphinfish,42.0,1.0
2024,2,5208103,Indonesia,Line | Handline,Handline (offshore),Common dolphinfish,2.0,0.165
2024,2,5208104,Indonesia,Line | Handline,Handline,Common dolphinfish,77.0,0.672
2024,2,5208104,Indonesia,Line | Handline,Handline,Blue shark,77.0,0.028
2024,2,5208105,Indonesia,Line | Handline,Handline,Common dolphinfish,123.0,2.409
2024,2,5208105,Indonesia,Line | Handline,Handline (offshore),Common dolphinfish,3.0,0.061
2024,2,5208105,Indonesia,Purse seine | LS,Purse seine,Common dolphinfish,5.0,0.049
2024,2,5208106,Indonesia,Line | Handline,Handline,Common dolphinfish,112.0,4.806
2024,2,5208106,Indonesia,Line | Trolling,Troll line,Common dolphinfish,8.0,0.273
2024,2,5208106,Indonesia,Line | Handline,Handline (offshore),Common dolphinfish,12.0,0.483
2024,2,5208107,Indonesia,Line | Handline,Handline,Common dolphinfish,17.0,0.275
2024,2,5208108,Indonesia,Line | Handline,Handline,Common dolphinfish,17.0,0.127
2024,2,5208109,Indonesia,Line | Handline,Handline,Common dolphinfish,6.0,0.111
2024,2,5208112,Indonesia,Line | Handline,Handline,Common dolphinfish,7.0,0.7
2024,2,5209081,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,158.0,16.2
2024,2,5209082,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,79.0,9.5
2024,2,5209083,Sri Lanka,Gillnet,Gillnet (offshore),Giant manta,673.0,0.1
2024,2,5209083,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,59.0,2.5
2024,2,5209084,Sri Lanka,Gillnet,Gillnet (offshore),Giant manta,521.0,0.1
2024,2,5209084,Sri Lanka,Gillnet,Gillnet (offshore),Great hammerhead,521.0,0.1
2024,2,5209085,Sri Lanka,Gillnet,Gillnet (offshore),Giant manta,369.0,0.3
2024,2,5209088,Sri Lanka,Purse seine | Other,Ringnet (offshore),Indian scad,20.0,8.0
2024,2,5209102,Indonesia,Line | Handline,Handline,Common dolphinfish,4.0,0.102
2024,2,5209104,Indonesia,Line | Handline,Handline,Common dolphinfish,7.0,1.748
2024,2,5209104,Indonesia,Line | Handline,Handline (offshore),Common dolphinfish,4.0,0.3
2024,2,5209105,Indonesia,Line | Handline,Handline,Common dolphinfish,14.0,1.588
2024,2,5209106,Indonesia,Line | Handline,Handline,Common dolphinfish,3.0,0.155
2024,2,5209107,Indonesia,Line | Handline,Handline,Common dolphinfish,24.0,1.063
2024,2,5209108,Indonesia,Line | Handline,Handline,Common dolphinfish,19.0,0.512
2024,2,5209109,Indonesia,Line | Handline,Handline,Common dolphinfish,5.0,0.254
2024,2,5209110,Indonesia,Line | Handline,Handline,Common dolphinfish,3.0,0.053
2024,2,5209110,Indonesia,Purse seine | LS,Small purse seine,Common dolphinfish,5.0,0.964
2024,2,5209111,Indonesia,Purse seine | LS,Small purse seine,Common dolphinfish,12.0,0.166
2024,2,5209112,Indonesia,Line | Handline,Handline,Common dolphinfish,11.0,1.0
2024,2,5209112,Indonesia,Purse seine | LS,Small purse seine,Common dolphinfish,1.0,0.023
2024,2,5210108,Indonesia,Line | Handline,Handline,Common dolphinfish,2.0,0.086
2024,2,5210109,Indonesia,Line | Handline,Handline,Common dolphinfish,3.0,0.967
2024,2,5210109,Indonesia,Line | Handline,Handline (offshore),Common dolphinfish,1.0,0.472
2024,2,5210112,Indonesia,Line | Handline,Handline,Common dolphinfish,10.0,0.102
2024,2,5210113,Indonesia,Line | Handline,Handline,Common dolphinfish,3.0,0.4
2024,2,5211109,Indonesia,Line | Handline,Handline (offshore),Common dolphinfish,2.0,0.533
2024,2,5211121,Indonesia,Line | Handline,Handline,Common dolphinfish,7.0,0.15
2024,2,5212108,Indonesia,Line | Handline,Handline (offshore),Common dolphinfish,1.0,0.1
2024,2,5212120,Indonesia,Purse seine | LS,Purse seine,Common dolphinfish,10.0,0.1
